feature_id,feature,feature_description,collected,compiled,elicitation_day,elicitation_month,elicitation_year,updated_day,updated_month,updated_year,domain,settlement,value,stimuli,answer,comment
9,g final lenition — ram,"In a simple rule, some dialects are expected to have a [+velar, +high, -back, -cont, +voice, -son] > [+cont] / _# phonetic alternation. By this rule we expect lenition of word-final /g/ and /gʲ/ to /ɣ/ and /ɣʲ/. In practice, we diagnose this by asking for a cognate realisations of two inter-dialectal lexemes /ɢarg/ 'male sheep' and /uˁrdegʲ/ 'wild duck'. The sounds in check (preliminary values) are the finals of two words. In final values, values g / gʲ are grouped together as [-cont], and values ɣ / ɣʲ / j are grouped together as [+cont]. The value [j] is expected, because my ear cannot always distinguish between it and a fronted velar [ɣʲ], which is expected on structural level.",Nikita Beklemishev,Nikita Beklemishev,8,7,2022,23,3,2023,Historical phonology,Kina,g / gʲ,къарГ1,ɢarg,
9,g final lenition — ram,"In a simple rule, some dialects are expected to have a [+velar, +high, -back, -cont, +voice, -son] > [+cont] / _# phonetic alternation. By this rule we expect lenition of word-final /g/ and /gʲ/ to /ɣ/ and /ɣʲ/. In practice, we diagnose this by asking for a cognate realisations of two inter-dialectal lexemes /ɢarg/ 'male sheep' and /uˁrdegʲ/ 'wild duck'. The sounds in check (preliminary values) are the finals of two words. In final values, values g / gʲ are grouped together as [-cont], and values ɣ / ɣʲ / j are grouped together as [+cont]. The value [j] is expected, because my ear cannot always distinguish between it and a fronted velar [ɣʲ], which is expected on structural level.",Nikita Beklemishev,Nikita Beklemishev,9,7,2022,23,3,2023,Historical phonology,Luchek,g / gʲ,къарГ1,ɢarg,
9,g final lenition — ram,"In a simple rule, some dialects are expected to have a [+velar, +high, -back, -cont, +voice, -son] > [+cont] / _# phonetic alternation. By this rule we expect lenition of word-final /g/ and /gʲ/ to /ɣ/ and /ɣʲ/. In practice, we diagnose this by asking for a cognate realisations of two inter-dialectal lexemes /ɢarg/ 'male sheep' and /uˁrdegʲ/ 'wild duck'. The sounds in check (preliminary values) are the finals of two words. In final values, values g / gʲ are grouped together as [-cont], and values ɣ / ɣʲ / j are grouped together as [+cont]. The value [j] is expected, because my ear cannot always distinguish between it and a fronted velar [ɣʲ], which is expected on structural level.",Nikita Beklemishev,Nikita Beklemishev,9,7,2022,23,3,2023,Historical phonology,Luchek,g / gʲ,къарГ1,ɢarg,
9,g final lenition — ram,"In a simple rule, some dialects are expected to have a [+velar, +high, -back, -cont, +voice, -son] > [+cont] / _# phonetic alternation. By this rule we expect lenition of word-final /g/ and /gʲ/ to /ɣ/ and /ɣʲ/. In practice, we diagnose this by asking for a cognate realisations of two inter-dialectal lexemes /ɢarg/ 'male sheep' and /uˁrdegʲ/ 'wild duck'. The sounds in check (preliminary values) are the finals of two words. In final values, values g / gʲ are grouped together as [-cont], and values ɣ / ɣʲ / j are grouped together as [+cont]. The value [j] is expected, because my ear cannot always distinguish between it and a fronted velar [ɣʲ], which is expected on structural level.",Nikita Beklemishev,Nikita Beklemishev,10,7,2022,23,3,2023,Historical phonology,Myukhrek,g / gʲ,къарГ1,ɢarg,
9,g final lenition — ram,"In a simple rule, some dialects are expected to have a [+velar, +high, -back, -cont, +voice, -son] > [+cont] / _# phonetic alternation. By this rule we expect lenition of word-final /g/ and /gʲ/ to /ɣ/ and /ɣʲ/. In practice, we diagnose this by asking for a cognate realisations of two inter-dialectal lexemes /ɢarg/ 'male sheep' and /uˁrdegʲ/ 'wild duck'. The sounds in check (preliminary values) are the finals of two words. In final values, values g / gʲ are grouped together as [-cont], and values ɣ / ɣʲ / j are grouped together as [+cont]. The value [j] is expected, because my ear cannot always distinguish between it and a fronted velar [ɣʲ], which is expected on structural level.",Nikita Beklemishev,Nikita Beklemishev,10,7,2022,23,3,2023,Historical phonology,Myukhrek,ɣ / ɣʲ / j,къарГ1,ɢarɣ,
9,g final lenition — ram,"In a simple rule, some dialects are expected to have a [+velar, +high, -back, -cont, +voice, -son] > [+cont] / _# phonetic alternation. By this rule we expect lenition of word-final /g/ and /gʲ/ to /ɣ/ and /ɣʲ/. In practice, we diagnose this by asking for a cognate realisations of two inter-dialectal lexemes /ɢarg/ 'male sheep' and /uˁrdegʲ/ 'wild duck'. The sounds in check (preliminary values) are the finals of two words. In final values, values g / gʲ are grouped together as [-cont], and values ɣ / ɣʲ / j are grouped together as [+cont]. The value [j] is expected, because my ear cannot always distinguish between it and a fronted velar [ɣʲ], which is expected on structural level.",Nikita Beklemishev,Nikita Beklemishev,11,7,2022,23,3,2023,Historical phonology,Kina,g / gʲ,къарГ1,ɢarg,
9,g final lenition — ram,"In a simple rule, some dialects are expected to have a [+velar, +high, -back, -cont, +voice, -son] > [+cont] / _# phonetic alternation. By this rule we expect lenition of word-final /g/ and /gʲ/ to /ɣ/ and /ɣʲ/. In practice, we diagnose this by asking for a cognate realisations of two inter-dialectal lexemes /ɢarg/ 'male sheep' and /uˁrdegʲ/ 'wild duck'. The sounds in check (preliminary values) are the finals of two words. In final values, values g / gʲ are grouped together as [-cont], and values ɣ / ɣʲ / j are grouped together as [+cont]. The value [j] is expected, because my ear cannot always distinguish between it and a fronted velar [ɣʲ], which is expected on structural level.",Nikita Beklemishev,Nikita Beklemishev,12,7,2022,23,3,2023,Historical phonology,Ikhrek,g / gʲ,къарГ1,ɢarg,
9,g final lenition — ram,"In a simple rule, some dialects are expected to have a [+velar, +high, -back, -cont, +voice, -son] > [+cont] / _# phonetic alternation. By this rule we expect lenition of word-final /g/ and /gʲ/ to /ɣ/ and /ɣʲ/. In practice, we diagnose this by asking for a cognate realisations of two inter-dialectal lexemes /ɢarg/ 'male sheep' and /uˁrdegʲ/ 'wild duck'. The sounds in check (preliminary values) are the finals of two words. In final values, values g / gʲ are grouped together as [-cont], and values ɣ / ɣʲ / j are grouped together as [+cont]. The value [j] is expected, because my ear cannot always distinguish between it and a fronted velar [ɣʲ], which is expected on structural level.",Nikita Beklemishev,Nikita Beklemishev,12,7,2022,23,3,2023,Historical phonology,Ikhrek,g / gʲ,къарГ1,ɢarg,
9,g final lenition — ram,"In a simple rule, some dialects are expected to have a [+velar, +high, -back, -cont, +voice, -son] > [+cont] / _# phonetic alternation. By this rule we expect lenition of word-final /g/ and /gʲ/ to /ɣ/ and /ɣʲ/. In practice, we diagnose this by asking for a cognate realisations of two inter-dialectal lexemes /ɢarg/ 'male sheep' and /uˁrdegʲ/ 'wild duck'. The sounds in check (preliminary values) are the finals of two words. In final values, values g / gʲ are grouped together as [-cont], and values ɣ / ɣʲ / j are grouped together as [+cont]. The value [j] is expected, because my ear cannot always distinguish between it and a fronted velar [ɣʲ], which is expected on structural level.",Nikita Beklemishev,Nikita Beklemishev,12,7,2022,23,3,2023,Historical phonology,Ikhrek,g / gʲ,къарГ1,ɢarg,
9,g final lenition — ram,"In a simple rule, some dialects are expected to have a [+velar, +high, -back, -cont, +voice, -son] > [+cont] / _# phonetic alternation. By this rule we expect lenition of word-final /g/ and /gʲ/ to /ɣ/ and /ɣʲ/. In practice, we diagnose this by asking for a cognate realisations of two inter-dialectal lexemes /ɢarg/ 'male sheep' and /uˁrdegʲ/ 'wild duck'. The sounds in check (preliminary values) are the finals of two words. In final values, values g / gʲ are grouped together as [-cont], and values ɣ / ɣʲ / j are grouped together as [+cont]. The value [j] is expected, because my ear cannot always distinguish between it and a fronted velar [ɣʲ], which is expected on structural level.",Nikita Beklemishev,Nikita Beklemishev,13,7,2022,23,3,2023,Historical phonology,Dzhilikhur,ɣ / ɣʲ / j,къарГ1,ɢarɣ,
